epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,731.748,1.21054,4.89159,1.22504,0.32884,0.32698,0.14875,0.10899,0.9428,2.69012,1.05335,0.00333026,0.00333026,0.0700276
2,1570.15,0.95822,2.8808,1.06335,0.4118,0.4671,0.36706,0.27774,0.85033,1.9673,1.01151,0.0060039,0.0060039,0.039368
3,2337.2,0.92111,2.18239,1.04319,0.49841,0.4861,0.47628,0.35912,0.86907,1.66935,1.0131,0.00801754,0.00801754,0.00804826
4,2975.97,0.91258,1.85434,1.03998,0.56614,0.61089,0.59788,0.46801,0.79133,1.40692,0.97228,0.00703,0.00703,0.00703
5,3632.19,0.84544,1.50958,1.00731,0.60523,0.62639,0.67961,0.54259,0.7241,1.18847,0.95649,0.00604,0.00604,0.00604
6,4259.74,0.77919,1.24565,0.9781,0.66893,0.73267,0.77211,0.63354,0.65658,0.95163,0.91958,0.00505,0.00505,0.00505
7,4614.73,0.71483,1.04902,0.94496,0.73848,0.71877,0.80737,0.67443,0.60132,0.85994,0.89874,0.00406,0.00406,0.00406
8,4968.65,0.67488,0.9147,0.92662,0.78421,0.78582,0.86539,0.73848,0.55537,0.73906,0.87627,0.00307,0.00307,0.00307
9,5323.97,0.62608,0.79701,0.90709,0.81315,0.80857,0.88275,0.76499,0.51979,0.64921,0.86537,0.00208,0.00208,0.00208
10,5674.23,0.57223,0.68425,0.88742,0.82496,0.84744,0.91072,0.80113,0.48252,0.5668,0.85246,0.00109,0.00109,0.00109
